NOME_POLITICO,PARTITO_ORIGINALE,PARTITO_UFFICIALE,MATCH_SCORE_PARTITO
Berlusconi Silvio,Forza Italia,FORZA ITALIA,100.0
Bagnasco Roberto,Forza Italia,FORZA ITALIA,100.0
Rossello Cristina,Forza Italia,FORZA ITALIA,100.0
Fazzone Claudio,Forza Italia,FORZA ITALIA,100.0
Mule' Giorgio,Forza Italia,FORZA ITALIA,100.0
Sorte Alessandro,Forza Italia,FORZA ITALIA,100.0
Sala Fabrizio,Forza Italia,FORZA ITALIA,100.0
Mari Francesco,Alleanza Verdi Sinistra,ALLEANZA VERDI E SINISTRA,96.0
Bonelli Angelo,Alleanza Verdi Sinistra,ALLEANZA VERDI E SINISTRA,96.0
Soumahoro Aboubakar,Alleanza Verdi Sinistra,ALLEANZA VERDI E SINISTRA,96.0
Grimaldi Marco,Alleanza Verdi Sinistra,ALLEANZA VERDI E SINISTRA,96.0
Meloni Giorgia,Fratelli d'Italia,FRATELLI D'ITALIA CON GIORGIA MELONI,90.0
Ciani Paolo,Partito Democratico,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,90.0
Romeo Massimiliano,Lega,LEGA PER SALVINI PREMIER,90.0
Salvini Matteo,Lega,LEGA PER SALVINI PREMIER,90.0
Calovini Giangiacomo,Fratelli d'Italia,FRATELLI D'ITALIA CON GIORGIA MELONI,90.0
Ferrari Sara,Partito Democratico,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,90.0
Fassino Piero,Partito Democratico,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,90.0
Di Giuseppe Andrea,Fratelli d'Italia,FRATELLI D'ITALIA CON GIORGIA MELONI,90.0
Meloni Marco,Partito Democratico,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,90.0
Tubetti Francesca,Fratelli d'Italia,FRATELLI D'ITALIA CON GIORGIA MELONI,90.0
Zan Alessandro,Partito Democratico,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,90.0
Calenda Carlo,Azione - Italia Viva,AZIONE - ITALIA VIVA - CALENDA,90.0
Fina Michele,Partito Democratico,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,90.0
Satta Giovanni,Fratelli d'Italia,FRATELLI D'ITALIA CON GIORGIA MELONI,90.0
Stumpo Nicola,Partito Democratico,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,90.0
Milani Massimo,Fratelli d'Italia,FRATELLI D'ITALIA CON GIORGIA MELONI,90.0
Dara Andrea,Lega,LEGA PER SALVINI PREMIER,90.0
Dondi Daniela,Fratelli d'Italia,FRATELLI D'ITALIA CON GIORGIA MELONI,90.0
Mattia Aldo,Fratelli d'Italia,FRATELLI D'ITALIA CON GIORGIA MELONI,90.0
De Luca Piero,Partito Democratico,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,90.0
Loperfido Emanuele,Fratelli d'Italia,FRATELLI D'ITALIA CON GIORGIA MELONI,90.0
Provenzano Giuseppe,Partito Democratico,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,90.0
De Carlo Luca,Fratelli d'Italia,FRATELLI D'ITALIA CON GIORGIA MELONI,90.0
Pierro Attilio,Lega,LEGA PER SALVINI PREMIER,90.0
Polo Barbara,Fratelli d'Italia,FRATELLI D'ITALIA CON GIORGIA MELONI,90.0
Miele Giovanna,Lega,LEGA PER SALVINI PREMIER,90.0
Russo Gaetana,Fratelli d'Italia,FRATELLI D'ITALIA CON GIORGIA MELONI,90.0
